kanji	codepoint	strokes	grade	freq	jlpt	ref_sh_kk	on'yomi	kun'yomi	meanings
亜	20124	7	8	1509	1	1616	ア	つ･ぐ	Asia, rank next, come after, -ous
唖	21782	10					ア, アク	おし	mute, dumb
娃	23043	9	9				ア, アイ, ワ	うつく･しい	beautiful
阿	38463	8	9	1126	1	2258	ア, オ	おもね･る, くま	Africa, flatter, fawn upon, corner, nook, recess
哀	21696	9	8	1715	1	1675	アイ	あわ･れ, あわ･れむ, かな･しい	pathetic, grief, sorrow, pathos, pity, sympathize
愛	24859	13	4	640	2	259	アイ	いと･しい, かな･しい, め･でる, お･しむ, まな	love, affection, favourite
挨	25384	10	8	2258			アイ	ひら･く	approach, draw near, push open
姶	23030	9					オウ, アイ	あい	good-looking, quiet
逢	36898	10	9	2116			ホウ	あ･う, むか･える	meeting, tryst, date, rendezvous
葵	33909	12	9	2122	1	2222	キ	あおい	hollyhock
茜	33564	9	9	2422	1	2216	セン	あかね	madder, red dye, Turkey red
穐	31312	16					シュウ	あき, とき	autumn
悪	24746	11	3	530	3	304	アク, オ	わる･い, わる-, あ･し, にく･い, -にく･い, ああ, いずくに, いずくんぞ, にく･む	bad, vice, rascal, false, evil, wrong
握	25569	12	8	1003	1	1714	アク	にぎ･る	grip, hold, mould sushi, bribe
渥	28197	12	9	2257	1	2143	アク	あつ･い, うるお･う	kindness, moisten
旭	26093	6	9	1417	1	2086	キョク	あさひ	rising sun, morning sun
葦	33894	13	9	2343			イ	あし, よし, しお･れる, しな･びる, しぼ･む, な･える	reed, bullrush
芦	33446	7	9	1733			ロ	あし, よし	reed, bullrush
鯵	39925	19					ソウ	あじ	horse mackerel
梓	26771	11	9	2301	1	2113	シ	あずさ	catalpa tree, woodblock printing
圧	22311	5	5	718	2	1342	アツ, エン, オウ	お･す, へ･す, おさ･える, お･さえる	pressure, push, overwhelm, oppress, dominate
斡	26017	14	9				アツ, カン, ワツ	めぐ･る, めぐ･らす	go around, rule, administer
扱	25201	6	8	1057	1	1258	ソウ, キュウ	あつか･い, あつか･う, あつか･る, こ･く	handle, entertain, thresh, strip
宛	23451	8	8				エン	あ･てる, -あて, -づつ, あたか･も	address, just like, fortunately
姐	22992	8					ソ, シャ	あね, ねえさん	elder sister, maidservant
虻	34427	9					ボウ	あぶ	gadfly, horsefly
飴	39156	13					イ, シ	あめ, やしな･う	rice jelly, candy
絢	32098	12	9	2315	1	2194	ケン		brilliant fabric design
綾	32190	14	9	1759	1	2198	リン	あや	design, figured cloth, twill
鮎	39822	16	9	2201	1	2270	デン, ネン	あゆ, なまず	freshwater trout, smelt
或	25110	8	9	2378			ワク, コク, イキ	あ･る, あるい, あるいは	some, one, or, possibly, a certain
粟	31903	12	9	2146			ゾク, ショク, ソク	あわ, もみ	millet
袷	34999	11					コウ, キョウ	あわせ	lined (kimono)
安	23433	6	3	144	4	105	アン	やす･い, やす･まる, やす, やす･らか	relax, cheap, low, quiet, rested, contented, peaceful
庵	24245	11	9	2119			アン	いおり, いお	hermitage, retreat
按	25353	9	9				アン	おさ･える, しら･べる	hold, consider, investigate
暗	26263	13	3	1040	3	348	アン	くら･い, くら･む, くれ･る	darkness, disappear, shade, informal, grow dark, be blinded
案	26696	10	4	206	2	106	アン	つくえ	plan, suggestion, draft, ponder, fear, proposition, idea, expectation, worry, table, bench
闇	38343	17	8	1969			アン, オン	やみ, くら･い	get dark, gloom, disorder
鞍	38797	15	9	2214			アン	くら	saddle
杏	26447	7	9	2159	1	2102	キョウ, アン, コウ	あんず	apricot
以	20197	5	4	126	3	46	イ	もっ･て	by means of, because, in view of, compared with
伊	20234	6	9	703	1	2011	イ	かれ	Italy, that one
位	20301	7	4	276	2	122	イ	くらい, ぐらい	rank, grade, throne, crown, about, some
依	20381	8	8	906	2	678	イ, エ	よ･る	reliant, depend on, consequently, therefore, due to
偉	20553	12	8	1639	2	1053	イ	えら･い	admirable, greatness, remarkable, conceited, famous, excellent
囲	22258	7	5	771	2	1194	イ	かこ･む, かこ･う, かこ･い	surround, besiege, store, paling, enclosure, encircle, preserve, keep
夷	22839	6	9	2324			イ	えびす, えみし, ころ･す, たい･らげる	barbarian, savage, Ainu
委	22996	8	3	187	2	466	イ	ゆだ･ねる	committee, entrust to, leave to, devote, discard
威	23041	9	8	1103	1	1339	イ	おど･す, おど･し, おど･かす	intimidate, dignity, majesty, menace, threaten
尉	23561	11	8	2007	1	1617	イ, ジョウ		military officer, jailer, old man, rank
惟	24799	11	9	2246	1	2073	イ, ユイ	おも･んみる, これ, おも･うに	consider, reflect, think
意	24847	13	3	99	3	132	イ		idea, mind, heart, taste, thought, desire, care, liking
慰	24944	15	8	1158	1	1618	イ	なぐさ･める, なぐさ･む	consolation, amusement, seduce, cheer, make sport of, comfort, console
易	26131	8	5	571	2	759	エキ, イ	やさ･しい, やす･い	easy, ready to, simple, fortune-telling, divination
椅	26885	12	8	2245			イ		chair
為	28858	9	8	831	1	1484	イ	ため, な･る, な･す, す･る, たり, つく･る, なり	do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good, advantage, as a result of
畏	30031	9	8	2389			イ	おそ･れる, かしこま･る, かしこ, かしこ･し	fear, majestic, graciously, be apprehensive
異	30064	11	6	631	2	1061	イ	こと, こと･なる, け	uncommon, different, queerness, strangeness, wonderful, curious, unusual
移	31227	11	5	448	2	1121	イ	うつ･る, うつ･す	shift, move, change, drift, catch (cold, fire), pass into
維	32173	14	8	643	1	1231	イ		fiber, tie, rope
緯	32239	16	8	1430	1	1054	イ	よこいと, ぬき	horizontal, woof, left & right, (parallels of) latitude, prediction
胃	32963	9	6	1647	2	1268	イ		stomach, paunch, crop, craw
萎	33806	11	8				イ	な, しお･れる, しな･びる, しぼ･む, な･える	wither, droop, lame
衣	34915	6	4	1214	2	677	イ, エ	ころも, きぬ, -ぎ	garment, clothes, dressing
謂	35586	16	9				イ	い･う, いい, おも･う, いわゆる	reason, origin, history, oral tradition
違	36949	13	8	344	2	814	イ	ちが･う, ちが･い, ちが･える, -ちが･える, たが･う, たが･える	difference, differ
遺	36986	15	6	647	1	1172	イ, ユイ	のこ･す	bequeath, leave behind, reserve
医	21307	7	3	437	3	220	イ	い･やす, い･する, くすし	doctor, medicine
井	20117	4	4	339	1	1193	セイ, ショウ	い	well, well crib, town, community
亥	20133	6	9		1	2008	ガイ, カイ	い	sign of the hog, 9-11PM, twelfth sign of the Chinese zodiac
域	22495	11	6	396	2	970	イキ		range, region, limits, stage, level
育	32946	8	3	369	2	246	イク	そだ･つ, そだ･ち, そだ･てる, はぐく･む	bring up, grow up, raise, rear
郁	37057	9	9	1920	1	2252	イク		cultural progress, perfume
磯	30959	17	9	1444	1	2177	キ	いそ	seashore, beach
一	19968	1	1	2	4	2	イチ, イツ	ひと-, ひと･つ	one, one radical (no.1)
壱	22769	7	8	2351	1	1730	イチ, イツ	ひとつ	one (in documents)
溢	28322	13	9	2405			イツ	こぼ･れる, あふ･れる, み･ちる	overflow, inundate, spill
逸	36920	11	8	1524	1	734	イツ	そ･れる, そ･らす, はぐ･れる	deviate, idleness, leisure, miss the mark, evade, elude, parry, diverge
稲	31282	14	8	1038	1	1220	トウ, テ	いね, いな-	rice plant
茨	33576	9	4	1203			シ, ジ	いばら, かや, くさぶき	briar, thorn
芋	33419	6	8	2418	1	1909	ウ	いも	potato
鰯	39983	21	9					いわし	sardine, (kokuji)
允	20801	4	9	2358	1	2022	イン	じょう, まこと･に, ゆるす	license, sincerity, permit
印	21360	6	4	682	2	1043	イン	しるし, -じるし, しる･す	stamp, seal, mark, imprint, symbol, emblem, trademark, evidence, souvenir, India
咽	21693	9	8				イン, エン, エツ	むせ･ぶ, むせ･る, のど, の･む	throat, choked, smothered, stuffy
員	21729	10	3	54	3	163	イン		employee, member, number, the one in charge
因	22240	6	5	636	2	554	イン	よ･る, ちな･む	cause, factor, be associated with, depend on, be limited to
姻	23035	9	8	1985	1	1748	イン		matrimony, marry
引	24341	4	2	218	3	216	イン	ひ･く, ひ･ける	pull, tug, jerk, admit, install, quote, refer to
飲	39154	12	3	969	4	323	イン, オン	の･む, -の･み	drink, smoke, take
淫	28139	11	8				イン	ひた･す, ほしいまま, みだ･ら, みだ･れる, みだり	lewdness, licentiousness
胤	32996	9	9		1	2205	イン	たね	descendent, issue, offspring
蔭	34093	14	9	2166			イン, オン	かげ	shade, shadow, backing assistance
院	38498	10	3	150	3	614	イン		Inst., institution, temple, mansion, school
陰	38512	11	8	1393	1	867	イン	かげ, かげ･る	shade, yin, negative, sex organs, secret, shadow
隠	38560	14	8	1089	1	868	イン, オン	かく･す, かく･し, かく･れる, よ･る	conceal, hide, cover
韻	38907	19	8	2148	1	349	イン		rhyme, elegance, tone
吋	21515	6					トウ, ドウ, スン	インチ	inch
右	21491	5	1	602	4	76	ウ, ユウ	みぎ	right
宇	23431	6	6	883	2	990	ウ		eaves, roof, house, heaven
烏	28879	10	9	2042			ウ, オ	からす, いずくんぞ, なんぞ	crow, raven
羽	32701	6	2	748	2	590	ウ	は, わ, はね	feathers, counter for birds, rabbits
迂	36802	6	9				ウ		roundabout way
雨	38632	8	1	950	4	30	ウ	あめ, あま-, -さめ	rain
卯	21359	5	9	2400	1	2031	ボウ, モウ	う	sign of the hare or rabbit, fourth sign of Chinese zodiac, 5-7AM, east
鵜	40284	18	9	2118			テイ, ダイ	う	cormorant
窺	31418	16	9				キ	うかが･う, のぞく	lie in wait, spy on, reconnoiter
丑	19985	4	9	2305	1	2001	チュウ	うし	sign of the ox or cow, 1-3AM, second sign of Chinese zodiac
碓	30867	13	9	2364			カク, タイ	たし･か, かく･たる	pestle
臼	33276	6	8	2048			キュウ, グ	うす, うすづ･く	mortar
渦	28198	12	8	1789	1	1810	カ	うず	whirlpool, eddy, vortex
嘘	22040	14		2235			キョ, コ	うそ, ふ･く	lie, falsehood
唄	21764	10	8	2051	1	2039	バイ	うた, うた･う	song, ballad
欝	27421	26					ウツ, ウン	うっ･する, ふさ･ぐ, しげ･る	gloom, depression, melancholy
蔚	34074	14					ウツ, イ	うち, おとこよもぎ	dense growth
鰻	39995	22					マン, バン	うなぎ	eel
姥	23013	9	9				ボ, モ	うば	old woman
厩	21417	12	9				キュウ	うまや	barn, stable
浦	28006	10	8	977	1	1442	ホ	うら	bay, creek, inlet, gulf, beach, seacoast
瓜	29916	6	9	2459			カ, ケ	うり	melon
閏	38287	12	9				ジュン	うるう	intercalation, illegitimate throne
噂	22082	15	9	2298			ソン	うわさ	rumor, gossip, hearsay
云	20113	4	9				ウン	い･う, ここに	say
運	36939	12	3	255	3	439	ウン	はこ･ぶ	carry, luck, destiny, fate, lot, transport, progress, advance
雲	38642	12	2	1256	2	636	ウン	くも, -ぐも	cloud
荏	33615	9		2096			ジン, ニン		bean, perilla, herb, soft, pliable
餌	39180	14	8	2277			ジ, ニ	え, えば, えさ, もち	food, bait, prey, tempting profit
叡	21473	16	9		1	2032	エイ	あき･らか	intelligence, imperial
営	21942	12	5	303	2	722	エイ	いとな･む, いとな･み	occupation, camp, perform, build, conduct (business)
嬰	23344	17					エイ	ふ･れる, みどりご, あかご	sharp (music), baby
影	24433	15	8	464	1	854	エイ	かげ	shadow, silhouette, phantom
映	26144	9	6	404	3	352	エイ	うつ･る, うつ･す, は･える, -ば･え	reflect, reflection, projection
曳	26355	6	9				エイ	ひ･く	pull, tug, jerk, admit, install, quote, refer to
栄	26628	9	4	920	2	723	エイ, ヨウ	さか･える, は･え, -ば･え, は･える, え	flourish, prosperity, honor, glory, splendor
永	27704	5	5	846	2	1207	エイ	なが･い	eternity, long, lengthy
泳	27891	8	3	1223	2	1208	エイ	およ･ぐ	swim
洩	27945	9					エイ, セツ	も･らす, の･びる, も･れる	leak, escape
瑛	29787	12	9	2393	1	2159	エイ		sparkle of jewelry, crystal
盈	30408	9					エイ	み･たす, み･ちる	fullness, enough, pride, satisfy
穎	31310	16					エイ	ほさき, のぎ	heads of grain, cleverness
頴	38964	16					エイ	ほさき, のぎ	heads of grain, cleverness
英	33521	8	4	430	3	353	エイ	はなぶさ	England, English, hero, outstanding, calyx
衛	34907	16	5	400	1	815	エイ, エ		defense, protection
詠	35424	12	8	2000	1	1209	エイ	よ･む, うた･う	recitation, poem, song, composing
鋭	37613	15	8	1395	2	1371	エイ	するど･い	pointed, sharpness, edge, weapon, sharp, violent
液	28082	11	5	1210	2	472	エキ		fluid, liquid, juice, sap, secretion
疫	30123	9	8	1661	1	1319	エキ, ヤク		epidemic
益	30410	10	5	674	1	716	エキ, ヤク	ま･す	benefit, gain, profit, advantage
駅	39365	14	3	724	4	284	エキ		station
悦	24742	10	8	1762	1	1368	エツ	よろこ･ぶ, よろこ･ばす	ecstasy, joy, rapture
謁	35585	15	8		1	1920	エツ		audience, audience (with king)
越	36234	12	8	897	2	1001	エツ, オツ	こ･す, -こ･す, -ご･し, こ･える, -ご･え	surpass, cross over, move to, exceed, Vietnam
閲	38322	15	8	1855	1	1369	エツ	けみ･する	review, inspection, revision
榎	27022	14	9	1945			カ	えのき	lotus tree, nettle tree, hackberry
厭	21421	14					エン, オン, アン, オウ, ユウ, ヨウ	いや, あ･きる, いと･う, おさ･える	get tired of, satiate, bore, dislike, disagreeable, unwelcome
円	20870	4	1	69	4	13	エン	まる･い, まる, まど, まど･か, まろ･やか	circle, yen, round
園	22290	13	2	628	2	447	エン	その	park, garden, yard, farm
堰	22576	12	9	1913			エン	せき, せ･く	dam, prevent, stop up
奄	22852	8	9	2047			エン	おお･う, たちまち	cover, suffocate, obstruct
宴	23476	10	8	1675	1	640	エン	うたげ	banquet, feast, party
延	24310	8	6	747	2	1115	エン	の･びる, の･べる, の･べ, の･ばす	prolong, stretching
怨	24616	9	8	2137			エン, オン, ウン	うら･む, うらみ, うら･めしい	grudge, show resentment, be jealous
掩	25513	11					エン	おお･う	cover, conceal
援	25588	12	8	312	1	1088	エン		abet, help, save
沿	27839	8	6	1121	1	1607	エン	そ･う, -ぞ･い	run alongside, follow along, run along, lie along
演	28436	14	5	267	2	344	エン		performance, act, play, render, stage
炎	28814	8	8	1242	1	1336	エン	ほのお	inflammation, flame, blaze
焔	28948	11					エン	ほのお	flame, blaze
煙	29017	13	8	1290	2	919	エン	けむ･る, けむり, けむ･い	smoke
燕	29141	16	9	2147			エン	つばめ, つばくら, つばくろ	swallow (bird)
猿	29503	13	8	1772	1	1584	エン	さる	monkey
縁	32257	15	8	1291	1	1131	エン, -ネン	ふち, ふち･どる, ゆかり, よすが, へり, えにし	affinity, relation, connection, edge, border, verge, brink
艶	33398	19	8	2207	1	2209	エン	つや, なま･めかしい, あで･やか, つや･めく, なま･めく	glossy, luster, glaze, polish, charm, colorful, captivating
苑	33489	8	9	2060	1	2212	エン, オン	その, う･つ	garden, farm, park
薗	34199	16	10				エン, オン		garden, yard, farm
遠	36960	13	2	887	3	446	エン, オン	とお･い	distant, far
鉛	37467	13	8	1710	1	1606	エン	なまり	lead
鴛	40219	16					エン, オン	おし, おしどり	male mandarin duck
塩	22633	13	4	1148	2	1101	エン	しお	salt
於	26044	8	9	2113	1	2084	オ, ヨ	おい･て, お･ける, ああ, より	at, in, on, as for
汚	27738	6	8	908	2	693	オ	けが･す, けが･れる, けが･らわしい, よご･す, よご･れる, きたな･い	dirty, pollute, disgrace, rape, defile
甥	29989	12	9				セイ, ソウ, ショウ	おい, むこ	nephew
凹	20985	5	8	2206	1	1893	オウ	くぼ･む, へこ･む, ぼこ	concave, hollow, sunken
央	22830	5	3	582	2	351	オウ		center, middle
奥	22885	12	8	1018	2	476	オウ	おく, おく･まる, くま	heart, interior
往	24448	8	5	1421	1	918	オウ	い･く, いにしえ, さき･に, ゆ･く	journey, travel, chase away, let go, going, before, formerly
応	24540	7	5	266	2	827	オウ, ヨウ, -ノウ	あた･る, まさに, こた･える	apply, answer, yes, OK, reply, accept
押	25276	8	8	789	2	986	オウ	お･す, お･し-, お･っ-, お･さえる, おさ･える	push, stop, check, subdue, attach, seize, weight, shove, press, seal, do in spite of
旺	26106	8	8	2342	1	2087	オウ, キョウ, ゴウ	かがや･き, うつくし･い, さかん	flourishing, successful, beautiful, vigorous
横	27178	15	3	480	2	781	オウ	よこ	sideways, side, horizontal, width, woof, unreasonable, perverse
欧	27431	8	8	421	2	1022	オウ	うた･う, は･く	Europe
殴	27572	8	8	1622	1	1940	オウ	なぐ･る	assault, hit, beat, thrash
王	29579	4	1	684	2	294	オウ, -ノウ		king, rule, magnate
翁	32705	10	8	2064	1	1930	オウ	おきな	venerable old man
襖	35158	17	9				オウ	ふすま, あお	opaque sliding door
鴬	40236	16					オウ	うぐいす	nightingale, bush warbler
鴎	40206	15		2187			オウ	かもめ	seagull
黄	40644	11	2	1240	2	780	コウ, オウ	き, こ-	yellow
岡	23713	8	4	463			コウ	おか	mount, hill, knoll
沖	27798	7	4	929	1	1346	チュウ	おき, おきつ, ちゅう･する, わく	open sea, offing, rise high into sky
荻	33659	10	9	1630			テキ	おぎ	reed, rush
億	20740	15	4	716	2	382	オク		hundred million, 10**8
屋	23627	9	3	616	3	167	オク	や	roof, house, shop, dealer, seller
憶	25014	16	8	1324	1	381	オク		recollection, think, remember
臆	33222	17	8				オク, ヨク	むね, おくする	timidity, heart, mind, fear, cowardly
桶	26742	11	9	2210			ヨウ, トウ	おけ	tub, bucket
牡	29281	7	9	2155			ボ, ボウ	おす, お-, おん-	male
乙	20057	1	8	1841	1	983	オツ, イツ	おと-, きのと	the latter, duplicate, strange, witty, fishhook radical (no. 5)
俺	20474	10	8	1946			エン	おれ, われ	I, myself
卸	21368	9	8	1520	1	707	シャ	おろ･す, おろし, おろ･し	wholesale
恩	24681	10	6	1418	1	555	オン		grace, kindness, goodness, favor, mercy, blessing, benefit
温	28201	12	3	838	2	634	オン	あたた･か, あたた･かい, あたた･まる, あたた･める, ぬく	warm
穏	31311	16	8	1535	1	869	オン	おだ･やか	calm, quiet, moderation
音	38899	9	1	491	3	347	オン, イン, -ノン	おと, ね	sound, noise
下	19979	3	1	97	4	31	カ, ゲ	した, しも, もと, さ･げる, さ･がる, くだ･る, くだ･り, くだ･す, -くだ･す, くだ･さる, お･ろす, お･りる	below, down, descend, give, low, inferior
化	21270	4	3	89	2	254	カ, ケ	ば･ける, ば･かす, ふ･ける, け･する	change, take the form of, influence, enchant, delude, -ization
仮	20206	6	5	1039	2	1049	カ, ケ	かり, かり-	sham, temporary, interim, assumed (name), informal
何	20309	7	2	340	4	390	カ	なに, なん, なに-, なん-	what
伽	20285	7	9	2323	1	2014	カ, ガ, キャ, ギャ	とぎ	nursing, attending, entertainer
価	20385	8	5	250	2	421	カ, ケ	あたい	value, price
佳	20339	8	8	1643	1	1462	カ		excellent, beautiful, good, pleasing, skilled
加	21152	5	4	130	2	709	カ	くわ･える, くわ･わる	add, addition, increase, join, include, Canada
可	21487	5	5	314	2	388	カ, コク	-べ･き, -べ･し	can, passable, mustn't, should not, do not
嘉	22025	14	9	1553	1	2041	カ	よみ･する, よい	applaud, praise, esteem, happy, auspicious
夏	22799	10	2	659	3	461	カ, ガ, ゲ	なつ	summer
嫁	23233	13	8	1581	1	1749	カ	よめ, とつ･ぐ, い･く, ゆ･く	marry into, bride
家	23478	10	2	133	3	165	カ, ケ	いえ, や, うち	house, home, family, professional, expert, performer
寡	23521	14	8	2035	1	1851	カ		widow, minority, few
科	31185	9	2	531	2	320	カ		department, course, section
暇	26247	13	8	1386	1	1064	カ	ひま, いとま	spare time, rest, leisure, time, leave of absence
果	26524	8	4	258	2	487	カ	は･たす, はた･す, -は･たす, は･てる, -は･てる, は･て	fruit, reward, carry out, achieve, complete, end, finish, succeed
架	26550	9	8	1555	1	755	カ	か･ける, か･かる	erect, frame, mount, support, shelf, construct
歌	27468	14	2	519	3	392	カ	うた, うた･う	song, sing
河	27827	8	5	663	2	389	カ	かわ	river
火	28779	4	1	574	4	20	カ	ひ, -び, ほ-	fire
珂	29634	9	9	2227			カ		jewel
禍	31117	13	8	2010	1	1809	カ	わざわい	calamity, misfortune, evil, curse
禾	31166	5	9				カ	いね	two-branch tree radical (no. 115)
稼	31292	15	8	1264	1	1750	カ	かせ･ぐ	earnings, work, earn money
箇	31623	14	8		1	1473	カ, コ		counter for articles
花	33457	7	1	578	4	255	カ, ケ	はな	flower
苛	33499	8	8				カ	いじ･める, さいな･む, いらだ･つ, からい, こまかい	torment, scold, chastise
茄	33540	8	9		1	2213	カ		eggplant
荷	33655	10	3	1230	2	391	カ	に	baggage, shoulder-pole load, bear (a burden), shoulder (a gun), load, cargo, freight
華	33775	10	8	1085	1	1074	カ, ケ	はな	splendor, flower, petal, shine, luster, ostentatious, showy, gay, gorgeous
菓	33747	11	8	1719	2	1535	カ		candy, cakes, fruit
蝦	34662	15	9	2501			カ, ゲ	えび	shrimp, prawn, lobster
課	35506	15	4	455	2	488	カ		chapter, lesson, section, department, division, counter for chapters (of a book)
嘩	22057	13	9				カ, ケ	かまびす･しい	noisy
貨	36008	11	4	822	2	752	カ	たから	freight, goods, property
迦	36838	8	9	2160			カ, ケ		(used phonetically)
過	36942	12	5	285	2	413	カ	す･ぎる, す･ごす, あやま･ち, あやま･つ, よぎ･る, よ･ぎる	overdo, exceed, go beyond, error
霞	38686	17	9	1603	1	2261	カ, ゲ	かすみ, かす･む	be hazy, grow dim, blurred
蚊	34442	10	8	2121	1	1876	ブン	か	mosquito
俄	20420	9	9				ガ	にわか	sudden, abrupt, improvised
峨	23784	10	9	2234			ガ	けわ･しい	high mountain
我	25105	7	6	829	1	1302	ガ	われ, わ, わ･が-, わが-	ego, I, selfish, our, oneself
牙	29273	5	8	2067			ガ, ゲ	きば, は	tusk, fang, tusk radical (no. 92)
画	30011	8	2	199	3	343	ガ, カク, エ, カイ	えが･く, かく･する, かぎ･る, はかりごと, はか･る	brush-stroke, picture
臥	33253	9	9				ガ	ふせ･る, ふ･せる, ふ･す	bend down, bow, lie prostrate
芽	33469	8	4	1691	1	1455	ガ	め	bud, sprout, spear, germ
蛾	34558	13					ギ, ガ	ひむし	moth
賀	36032	12	4	1056	1	756	ガ		congratulations, joy
雅	38597	13	8	1192	1	1456	ガ	みや･び	gracious, elegant, graceful, refined
餓	39187	15	8	1754	1	1303	ガ	う･える	starve, hungry, thirst
駕	39381	15	9				カ, ガ	かご, が･する, しのぐ, のる	vehicle, palanquin, litter, hitch up an animal
介	20171	4	8	617	2	453	カイ		jammed in, shellfish, mediate, concern oneself with
会	20250	6	2	4	4	158	カイ, エ	あ･う, あ･わせる, あつ･まる	meeting, meet, party, association, interview, join
解	35299	13	5	176	2	474	カイ, ゲ	と･く, と･かす, と･ける, ほど･く, ほど･ける, わか･る, さと･る	unravel, notes, key, explanation, understanding, untie, undo, solve, answer, cancel, absolve, explain, minute
回	22238	6	2	50	3	90	カイ, エ	まわ･る, -まわ･る, -まわ･り, まわ･す, -まわ･す, まわ･し-, -まわ･し, もとお･る, か･える	-times, round, game, revolve, counter for occurrences
塊	22602	13	8	1800	1	1524	カイ, ケ	かたまり, つちくれ	clod, lump, chunk, clot, mass
壊	22730	16	8	727	1	1407	カイ, エ	こわ･す, こわ･れる, やぶ･る	demolition, break, destroy
廻	24315	9	9				カイ, エ	まわ･る, まわ･す, もとお･る, めぐ･る, めぐ･らす	round, game, revolve, go around, circumference
快	24555	7	5	1074	2	1409	カイ	こころよ･い	cheerful, pleasant, agreeable, comfortable
怪	24618	8	8	1634	1	1476	カイ, ケ	あや･しい, あや･しむ	suspicious, mystery, apparition
悔	24724	9	8	1460	1	1733	カイ	く･いる, く･やむ, くや･しい	repent, regret
恢	24674	9	9				カイ, ケ	ひろ･い	wide, large, enlarge
懐	25040	16	8	1493	1	1408	カイ, エ	ふところ, なつ･かしい, なつ･かしむ, なつ･く, なつ･ける, なず･ける, いだ･く, おも･う	feelings, heart, yearn, miss someone, become attached to, bosom, breast, pocket
戒	25106	7	8	1062	1	876	カイ	いまし･める	commandment
拐	25296	8	8	1498	1	1916	カイ		kidnap, falsify
改	25913	7	4	147	2	514	カイ	あらた･める, あらた･まる	reformation, change, modify, mend, renew, examine, inspect, search
魁	39745	14	9	2108	1	2083	カイ	さきがけ, かしら	charging ahead of others
晦	26214	10	9				カイ	つごもり, くら･い, みそか, くら･む	dark, disappear
械	26800	11	4	1321	2	529	カイ	かせ	contraption, fetter, machine, instrument
海	28023	9	2	200	3	117	カイ	うみ	sea, ocean
灰	28784	6	6	1717	2	1343	カイ	はい	ashes, puckery juice, cremate
界	30028	9	3	158	3	454	カイ		world, boundary
皆	30342	9	8	1267	2	587	カイ	みな, みんな	all, everything
絵	32117	12	2	895	2	345	カイ, エ		picture, drawing, painting, sketch
芥	33445	7	9	1929			カイ, ケ	からし, ごみ, あくた	mustard, rape, dust, trash, rubbish
蟹	34809	19	9	2417			カイ	かに	crab
開	38283	12	3	59	3	396	カイ	ひら･く, ひら･き, -びら･き, ひら･ける, あ･く, あ･ける	open, unfold, unseal
階	38542	12	3	513	2	588	カイ	きざはし	storey, stair, counter for storeys of a building
貝	35997	7	1	1787	2	240	バイ	かい	shellfish
凱	20977	12	9	2293	1	2028	ガイ, カイ	かちどき, やわらぐ	victory song
劾	21182	8	8	2085	1	1939	ガイ		censure, criminal investigation
外	22806	5	2	81	4	83	ガイ, ゲ	そと, ほか, はず･す, はず･れる, と-	outside
咳	21683	9					カイ, ガイ	せ･く, しわぶ･く, せき, しわぶき	cough, clear throat
害	23475	10	4	358	2	518	ガイ		harm, injury
崖	23830	11	8				ガイ, ゲ, ギ	がけ, きし, はて	cliff, bluff, precipice
慨	24936	13	8	1875	1	1460	ガイ	なげ･く	rue, be sad, sigh, lament
概	27010	14	8	1335	1	1459	ガイ	おおむ･ね	outline, condition, approximation, generally
涯	28079	11	8	1525	1	1461	ガイ	はて	horizon, shore, limit, bound
碍	30861	13					ガイ, ゲ	さまた･げる	obstacle
蓋	33995	13	8	2388			ガイ, カイ, コウ	ふた, けだ･し, おお･う, かさ, かこう	cover, lid, flap
街	34903	12	4	891	1	186	ガイ, カイ	まち	boulevard, street, town
該	35442	13	8	1648	1	1213	ガイ		above-stated, the said, that specific
鎧	37799	18	9				カイ, ガイ	よろ･う, よろい	put on armor, arm oneself
骸	39608	16	8				ガイ, カイ	むくろ	bone, body, corpse
浬	28012	10	9				リ	かいり, のっと	knot, nautical mile
馨	39336	20	9	2164	1	2267	ケイ, キョウ	かお･る, かおり	fragrant, balmy, favourable
蛙	34521	12					ア, ワ	かえる, かわず	frog
垣	22435	9	8	1539	1	1276	エン	かき	hedge, fence, wall
柿	26623	9	8	1745			シ	かき	persimmon
蛎	34510	11					レイ	かき	oyster
鈎	37390	12					コウ, ク	かぎ	hook, barb, gaff, brackets
劃	21123	14					カク	わ･かつ, かぎ･る	divide
嚇	22151	17	8	2141	1	1918	カク	おど･す	menacing, dignity, majesty, threaten
各	21508	6	4	243	2	642	カク	おのおの	each, every, either
廓	24275	14					カク	くるわ, とりで	enclosure, quarter, red-light district
拡	25313	8	6	611	2	1113	カク, コウ	ひろ･がる, ひろ･げる, ひろ･める	broaden, extend, expand, enlarge
撹	25785	15					カク, コウ	みだ･す	disturb, throw into confusion
格	26684	10	5	281	2	643	カク, コウ, キャク, ゴウ		status, rank, capacity, character, case (law, grammar)
核	26680	10	8	475	1	1212	カク		nucleus, core, kernel
殻	27579	11	8	1892	1	1728	カク, コク, バイ	から, がら	husk, nut shell
獲	29554	16	8	964	1	1313	カク	え･る	seize, get, find, earn, acquire, can, may, able to
確	30906	15	5	252	2	603	カク, コウ	たし･か, たし･かめる	assurance, firm, tight, hard, solid, confirm, clear, evident
穫	31339	18	8	1642	1	1314	カク		harvest, reap
